"user_id","round","agent_id","tile_x","tile_y","cnt"
30,1,0,4,3,6
30,1,0,4,7,0
12,4,0,2,2,3
12,4,0,1,2,2
12,4,0,2,1,4
12,4,0,2,3,3
12,4,0,3,2,3
12,4,0,1,1,4
12,4,0,1,3,2
12,4,0,3,1,3
12,4,0,3,3,4
12,4,0,5,5,3
12,4,0,4,5,1
12,4,0,5,4,7
12,4,0,5,6,2
12,4,0,6,5,4
12,4,0,4,4,4
12,4,0,4,6,5
12,4,0,6,4,1
12,4,0,6,6,3
3,6,0,0,1,0
3,6,0,7,0,0
3,6,0,3,1,2
3,6,0,1,4,1
3,6,0,7,4,1
3,6,0,2,0,6
3,6,0,7,7,1
3,6,0,7,3,0
3,6,0,4,0,0
3,6,0,2,7,3
3,6,0,4,1,2
3,6,0,4,3,0
3,6,0,4,7,1
3,6,1,0,1,0
3,6,1,7,0,2
3,6,1,3,1,0
3,6,1,1,4,1
3,6,1,7,4,2
3,6,1,2,0,0
3,6,1,7,7,1
3,6,1,7,3,1
3,6,1,4,0,0
3,6,1,2,7,0
3,6,1,4,1,4
3,6,1,4,3,1
3,6,1,4,7,1
33,1,0,0,1,0
33,1,0,7,0,0
33,1,0,3,1,3
33,1,0,1,4,6
33,1,0,7,4,0
33,1,0,2,0,0
33,1,0,7,7,0
33,1,0,7,3,0
33,1,0,4,0,3
33,1,0,2,7,0
33,1,0,4,1,5
33,1,0,4,3,0
33,1,0,4,7,0
25,3,0,0,1,1
25,3,0,7,0,0
25,3,0,3,1,1
25,3,0,1,4,0
25,3,0,7,4,0
25,3,0,2,0,1
25,3,0,7,7,0
25,3,0,7,3,0
25,3,0,4,0,0
25,3,0,2,7,1
25,3,0,4,1,0
25,3,0,4,3,0
25,3,0,4,7,0
28,1,0,0,1,1
28,1,0,7,0,0
28,1,0,3,1,1
28,1,0,1,4,1
28,1,0,7,4,0
28,1,0,2,0,1
28,1,0,7,7,0
28,1,0,7,3,0
28,1,0,4,0,9
28,1,0,2,7,0
28,1,0,4,1,1
28,1,0,4,3,2
28,1,0,4,7,0
7,6,0,0,1,0
7,6,0,7,0,1
7,6,0,3,1,1
7,6,0,1,4,2
7,6,0,7,4,2
7,6,0,2,0,0
7,6,0,7,7,2
7,6,0,7,3,1
7,6,0,4,0,0
7,6,0,2,7,2
7,6,0,4,1,0
7,6,0,4,3,1
7,6,0,4,7,1
7,6,1,0,1,1
7,6,1,7,0,1
7,6,1,3,1,7
7,6,1,1,4,0
7,6,1,7,4,0
7,6,1,2,0,3
7,6,1,7,7,0
7,6,1,7,3,0
7,6,1,4,0,8
7,6,1,2,7,0
7,6,1,4,1,3
7,6,1,4,3,1
7,6,1,4,7,0
23,4,0,2,2,1
23,4,0,1,2,0
23,4,0,2,1,0
23,4,0,2,3,1
23,4,0,3,2,1
23,4,0,1,1,0
23,4,0,1,3,0
23,4,0,3,1,1
23,4,0,3,3,0
23,4,0,5,5,6
23,4,0,4,5,8
23,4,0,5,4,2
23,4,0,5,6,3
23,4,0,6,5,3
23,4,0,4,4,3
23,4,0,4,6,5
23,4,0,6,4,0
23,4,0,6,6,3
22,4,0,2,2,3
22,4,0,1,2,3
22,4,0,2,1,3
22,4,0,2,3,2
22,4,0,3,2,4
22,4,0,1,1,5
22,4,0,1,3,3
22,4,0,3,1,3
22,4,0,3,3,4
22,4,0,5,5,1
22,4,0,4,5,4
22,4,0,5,4,5
22,4,0,5,6,2
22,4,0,6,5,5
22,4,0,4,4,5
22,4,0,4,6,5
22,4,0,6,4,3
22,4,0,6,6,2
10,6,0,0,1,2
10,6,0,7,0,1
10,6,0,3,1,5
10,6,0,1,4,2
10,6,0,7,4,1
10,6,0,2,0,3
10,6,0,7,7,2
10,6,0,7,3,2
10,6,0,4,0,1
10,6,0,2,7,0
10,6,0,4,1,5
10,6,0,4,3,2
10,6,0,4,7,1
10,6,1,0,1,3
10,6,1,7,0,2
10,6,1,3,1,4
10,6,1,1,4,1
10,6,1,7,4,4
10,6,1,2,0,3
10,6,1,7,7,1
10,6,1,7,3,3
10,6,1,4,0,3
10,6,1,2,7,2
10,6,1,4,1,3
10,6,1,4,3,3
10,6,1,4,7,1
35,1,0,0,1,0
35,1,0,7,0,0
